"Genotype","Yield_Control","Yield_Saline","STI"
"CN 105244",20.29,17.79,5.13111922975867
"CN 35808",18.005,17.85,4.56862442562805
"CN 101731",23.245,13.5566666666667,4.47957259828215
"CN 101844",17.945,14.9566666666667,3.81533247073859
"CN 105262",27.55,9.65333333333333,3.78053285928562
"CN 101738",16.68,15.1833333333333,3.60012254543582
"CN 101845",14.49,17.1466666666667,3.53184960416163
"CN 101732",9.01,26.3166666666667,3.37061990987984
"CN 101733",21.075,9.43333333333333,2.82609577171
"CN 101728",21.085,9.24666666666667,2.77148746412494
"CN 105242",16.195,11.7533333333333,2.70580264370553
"CN 101736",12.915,13.2166666666667,2.42644503896703
"CN 105265",15.855,10.55,2.37778628199577
"CN 101737",17.29,8.855,2.17639475186463
"CN 101840",9.875,15.3133333333333,2.14961632492827
"CN 101734",10.885,13.82,2.13840808422909
"CN 105206",12.58,11.58,2.07082458195961
"CN 105264",8.04,17.5866666666667,2.00998905279391
"CN 105192",8.625,16.35,2.00461498236651
"CN 105195",13.375,9.74,1.85185448949406
"CN 105258",7.685,16.8066666666667,1.83602913974895
"CN 101739",12.555,10.1766666666667,1.81625313866243
"CN 105205",13.01,9.24666666666667,1.71008071654093
"CN 105207",11.895,10.0366666666667,1.69710244188844
"CN 105193",11.755,9.97666666666667,1.66710213143833
"CN 101843",12.405,9.19,1.62056476170011
"CN 44106",8.675,12.4333333333333,1.53324363948458
"CN 43440",11.24,8.78666666666667,1.40392715274018
"CN 105268",8.915,10.9833333333333,1.39190508971071
"CN 101729",21.245,4.42,1.33485199824608
"CN 105259",13.08,6.83333333333333,1.27055790186708
"CN 35809",5.605,15.3666666666667,1.22436075013943
"CN 105263",10.81,7.82333333333333,1.20218592777366
"CN 101741",8.835,9.53333333333333,1.1973067845218
"CN 105208",10.775,7.11,1.08903287649936
"CN 101740",7.005,10.5933333333333,1.05486015700738
"CN 101713",4.035,17.8,1.02098098216379
"CN 101726",5.99,11.8866666666667,1.01214099998387
"CN 43437",7.885,8.86333333333333,0.993465732098685
"CN 101742",3.54,17.7,0.890698333130316
"CN 105269",11.345,5.28666666666667,0.85259059905787
"CN 105267",6.23,9.07,0.803247615335551
"CN 43436",6.26,8.55333333333333,0.761138765829612
"CN 34064",4.005,12.2466666666667,0.697227533172818
"CN 105260",5.555,8.52,0.672787275836947
"CN 101708",5.065,9.04333333333333,0.651121595883931
"CN 105266",7.795,5.23333333333333,0.579894017555554
"CN 101710",3.72,9.56666666666667,0.505891861844324
"CN 105245",2.455,14.17,0.494510432171804
"CN 101743",2.61,13.3266666666667,0.494442909795054
"CN 101842",4.25,7.33333333333333,0.443041559724667
"CN 101727",6.57,4.47,0.417471664871809
"CN 35810",6.8,4.31,0.416620172162905
"CN 101711",3.765,7.59,0.406219593857903
"CN 105194",4.34,5.32,0.328212768903879
"CN 43439",3.825,5.92333333333333,0.322071075667118
"CN 105196",2.665,6.39333333333333,0.242202528479769
"CN 105197",2.665,5.92666666666667,0.224523511802414
"CN 43438",2.13,6.52333333333333,0.197516456467583
"CN 105261",1.665,4.68333333333333,0.11084686595753
"CN 101730",2.515,2.92333333333333,0.104513030097809
"CN 101709",1.27,4.88666666666667,0.0882207098103293
"CN 105241",2.345,2.00333333333333,0.0667805782877177
"CN 105243",4.405,0.63,0.0394494155444891
"CN 101841",0.02,4.76,0.00135329058243171
"CN 105209",0,8.17,0
"CN 35414",0,3.6,0
